temp,casual
0.344167,331
0.363478,131
0.196364,120
0.2,108
0.226957,82
0.204348,88
0.196522,148
0.165,68
0.138333,54
0.150833,41
0.169091,43
0.172727,25
0.165,38
0.16087,54
0.233333,222
0.231667,251
0.175833,117
0.216667,9
0.292174,78
0.261667,83
0.1775,75
0.0591304,93
0.0965217,150
0.0973913,86
0.223478,186
0.2175,34
0.195,15
0.203478,38
0.196522,123
0.216522,140
0.180833,42
0.192174,47
0.26,72
0.186957,61
0.211304,88
0.233333,100
0.285833,354
0.271667,120
0.220833,64
0.134783,53
0.144348,47
0.189091,149
0.2225,288
0.316522,397
0.415,208
0.266087,140
0.318261,218
0.435833,259
0.521667,579
0.399167,532
0.285217,639
0.303333,195
0.182222,74
0.221739,139
0.295652,100
0.364348,120
0.2825,424
0.343478,694
0.407273,81
0.266667,137
0.335,231
0.198333,123
0.261667,214
0.384167,640
0.376522,114
0.261739,244
0.2925,316
0.295833,191
0.389091,46
0.316522,247
0.329167,724
0.384348,982
0.325217,359
0.317391,289
0.365217,321
0.415,424
0.54,884
0.4725,1424
0.3325,1047
0.430435,401
0.441667,460
0.346957,203
0.285,166
0.264167,300
0.265833,981
0.253043,472
0.264348,222
0.3025,317
0.3,168
0.268333,179
0.3,307
0.315,898
0.378333,1651
0.573333,734
0.414167,167
0.390833,413
0.4375,571
0.335833,172
0.3425,879
0.426667,1188
0.595652,855
0.5025,257
0.4125,209
0.4675,529
0.446667,642
0.430833,121
0.456667,1558
0.5125,669
0.505833,409
0.595,613
0.459167,745
0.336667,177
0.46,1462
0.581667,1710
0.606667,773
0.631667,678
0.62,547
0.6175,569
0.51,878
0.4725,1965
0.451667,1138
0.549167,847
0.616667,603
0.414167,255
0.459167,614
0.479167,894
0.52,1612
0.528333,1401
0.5325,664
0.5325,694
0.5425,550
0.535,695
0.5125,692
0.520833,902
0.5625,1582
0.5775,773
0.561667,678
0.55,536
0.530833,735
0.536667,909
0.6025,2258
0.604167,1576
0.631667,836
0.66,659
0.660833,740
0.708333,758
0.681667,871
0.655833,2001
0.6675,2355
0.733333,1549
0.775,673
0.764167,513
0.715,736
0.62,898
0.635,1869
0.648333,1685
0.678333,673
0.7075,763
0.775833,676
0.808333,563
0.755,815
0.725,1729
0.6925,1467
0.635,863
0.604167,727
0.626667,769
0.628333,545
0.649167,863
0.696667,1807
0.699167,1639
0.635,699
0.680833,774
0.733333,661
0.728333,746
0.724167,969
0.695,1782
0.68,1920
0.6825,854
0.744167,732
0.728333,848
0.696667,1027
0.7225,1246
0.738333,2204
0.716667,2282
0.726667,3065
0.746667,1031
0.72,784
0.75,754
0.709167,692
0.733333,1988
0.7475,1743
0.7625,723
0.794167,662
0.746667,748
0.680833,888
0.663333,1318
0.686667,2418
0.719167,2006
0.746667,841
0.776667,752
0.768333,644
0.815,632
0.848333,562
0.849167,987
0.83,1050
0.743333,568
0.771667,750
0.775,755
0.779167,606
0.838333,670
0.804167,1559
0.805833,1524
0.771667,729
0.783333,801
0.731667,467
0.71,799
0.710833,1023
0.716667,1521
0.7425,1298
0.765,846
0.775,907
0.766667,884
0.7175,812
0.708333,1051
0.685833,1504
0.676667,1338
0.665833,775
0.700833,721
0.723333,668
0.711667,639
0.685,797
0.6975,1914
0.710833,1249
0.691667,833
0.640833,1281
0.673333,949
0.684167,435
0.7,768
0.68,226
0.707059,1415
0.636667,729
0.639167,775
0.656667,688
0.655,783
0.643333,875
0.669167,1935
0.709167,2521
0.673333,1236
0.54,204
0.599167,118
0.633913,153
0.65,417
0.66,1750
0.653333,1633
0.644348,690
0.650833,701
0.673333,647
0.5775,428
0.469167,742
0.491667,1434
0.5075,1353
0.549167,691
0.561667,438
0.595,539
0.628333,555
0.609167,258
0.606667,1776
0.634167,1544
0.649167,684
0.636667,477
0.635,480
0.616667,653
0.564167,830
0.41,480
0.356667,616
0.384167,330
0.484167,486
0.538333,559
0.494167,639
0.510833,949
0.521667,2235
0.540833,2397
0.570833,1514
0.566667,667
0.543333,217
0.589167,290
0.550833,529
0.506667,1899
0.511667,1748
0.534167,713
0.5325,637
0.541739,254
0.475833,471
0.4275,676
0.4225,1499
0.421667,1619
0.463333,699
0.471667,695
0.484167,404
0.47,240
0.330833,456
0.254167,57
0.319167,885
0.34,362
0.400833,410
0.3775,370
0.408333,318
0.403333,470
0.326667,1156
0.348333,952
0.395,373
0.408333,376
0.4,305
0.38,190
0.324167,440
0.356667,1275
0.440833,1004
0.53,595
0.53,449
0.456667,145
0.341667,139
0.274167,245
0.329167,943
0.463333,787
0.4475,220
0.416667,69
0.440833,112
0.373333,560
0.375,1095
0.375833,1249
0.459167,810
0.503478,253
0.458333,96
0.325,188
0.3125,182
0.314167,268
0.299167,706
0.330833,634
0.385833,233
0.4625,126
0.41,50
0.265833,150
0.290833,261
0.275,502
0.220833,377
0.238333,143
0.2825,155
0.3175,178
0.4225,181
0.375,178
0.258333,275
0.238333,220
0.276667,260
0.385833,216
0.428333,107
0.423333,227
0.373333,163
0.3025,155
0.274783,303
0.321739,430
0.325,103
0.29913,255
0.248333,254
0.311667,491
0.41,665
0.37,686
0.273043,244
0.15,89
0.1075,95
0.265833,140
0.334167,307
0.393333,1070
0.3375,599
0.224167,106
0.308696,173
0.274167,92
0.3825,269
0.274167,174
0.18,333
0.166667,284
0.19,217
0.373043,127
0.303333,109
0.19,130
0.2175,115
0.173333,67
0.1625,196
0.218333,145
0.3425,439
0.294167,467
0.341667,244
0.425,269
0.315833,775
0.2825,558
0.269167,126
0.39,324
0.469167,304
0.399167,190
0.313333,310
0.264167,384
0.265833,318
0.282609,206
0.354167,199
0.256667,109
0.265,163
0.280833,227
0.224167,192
0.1275,73
0.2225,94
0.319167,135
0.348333,141
0.316667,74
0.343333,349
0.346667,1435
0.28,618
0.28,502
0.287826,163
0.395833,394
0.454167,516
0.4075,246
0.290833,317
0.279167,515
0.366667,253
0.359167,229
0.344348,65
0.485833,325
0.353333,246
0.414167,956
0.325833,710
0.243333,203
0.258333,221
0.404167,432
0.5275,486
0.410833,447
0.2875,968
0.361739,1658
0.466667,838
0.565,762
0.5725,997
0.5575,1005
0.435833,548
0.514167,3155
0.4725,2207
0.545,982
0.560833,1051
0.531667,1122
0.554167,1334
0.601667,2469
0.5025,1033
0.4375,1532
0.445833,795
0.323333,531
0.484167,674
0.494167,834
0.37,796
0.424167,2301
0.425833,2347
0.433913,1208
0.466667,1348
0.541667,1058
0.435,1192
0.403333,1807
0.4375,3252
0.5,2230
0.489167,905
0.446667,819
0.348696,482
0.3975,663
0.4425,1252
0.495,2795
0.606667,2846
0.664167,1198
0.608333,989
0.463333,347
0.498333,846
0.526667,1340
0.57,2541
0.396667,120
0.321667,195
0.413333,518
0.476667,655
0.498333,475
0.4575,1014
0.376667,1120
0.458333,2229
0.464167,665
0.613333,653
0.564167,667
0.56,764
0.6275,1069
0.621667,2496
0.5625,2135
0.5375,1008
0.581667,738
0.575,620
0.505833,1026
0.533333,1319
0.564167,2622
0.6125,2172
0.573333,342
0.611667,625
0.636667,991
0.593333,1242
0.564167,1521
0.6,3410
0.620833,2704
0.598333,630
0.615,819
0.621667,766
0.655,1059
0.68,1417
0.6925,2855
0.69,3283
0.7125,2557
0.7225,880
0.656667,745
0.68,1100
0.654167,533
0.583333,2795
0.6025,2494
0.5975,1071
0.540833,968
0.554167,1027
0.6025,1038
0.649167,1488
0.710833,2708
0.726667,2224
0.720833,1017
0.653333,477
0.655833,1173
0.648333,1180
0.639167,1563
0.631667,2963
0.5925,2634
0.568333,653
0.688333,968
0.7825,872
0.805833,778
0.7775,964
0.731667,2657
0.743333,2551
0.715833,1139
0.630833,1077
0.6975,1077
0.749167,921
0.834167,829
0.765,1455
0.815833,1421
0.781667,904
0.780833,1052
0.789167,2562
0.8275,1405
0.828333,1366
0.861667,1448
0.8225,1203
0.710833,998
0.720833,954
0.716667,975
0.715833,1032
0.731667,1511
0.703333,2355
0.745833,1920
0.763333,1088
0.818333,921
0.793333,799
0.77,888
0.665833,747
0.595833,1264
0.6675,2544
0.741667,1135
0.750833,1140
0.724167,1383
0.776667,1036
0.781667,1259
0.755833,2234
0.721667,2153
0.730833,1040
0.713333,968
0.7175,1074
0.7525,983
0.765833,1328
0.793333,2345
0.769167,1707
0.7525,1233
0.735833,1278
0.75,1263
0.755833,1196
0.715833,1065
0.6925,2247
0.700833,2182
0.720833,1207
0.726667,1128
0.706667,1198
0.719167,1338
0.723333,1483
0.678333,2827
0.635833,1208
0.635833,1026
0.649167,1081
0.6675,1094
0.695833,1363
0.7025,1325
0.661667,1829
0.653333,1483
0.703333,989
0.728333,935
0.685,1177
0.706667,1172
0.764167,1433
0.753333,2352
0.696667,2613
0.7075,1965
0.725833,867
0.736667,832
0.696667,611
0.703333,1045
0.659167,1557
0.61,2570
0.583333,1118
0.5775,1070
0.599167,1050
0.6125,1054
0.633333,1379
0.608333,3160
0.58,2166
0.580833,1022
0.623333,371
0.5525,788
0.546667,939
0.599167,1250
0.65,2512
0.529167,2454
0.514167,1001
0.55,845
0.635,787
0.65,751
0.619167,1045
0.5425,2589
0.526667,2015
0.520833,763
0.590833,315
0.6575,728
0.6575,891
0.615,1516
0.554167,3031
0.415833,781
0.383333,874
0.446667,601
0.514167,780
0.435,834
0.4375,1060
0.393333,2252
0.521667,2080
0.561667,760
0.468333,922
0.455833,979
0.5225,1008
0.563333,753
0.484167,2806
0.464167,2132
0.4875,830
0.544167,841
0.5875,795
0.55,875
0.545833,1182
0.53,2643
0.4775,998
0.44,2
0.318182,87
0.3575,419
0.365833,466
0.355,618
0.343333,1029
0.325833,1201
0.319167,378
0.280833,466
0.295833,326
0.352174,340
0.361667,709
0.389167,2090
0.420833,2290
0.485,1097
0.343333,327
0.289167,373
0.321667,320
0.345,484
0.325,1313
0.3425,922
0.380833,449
0.374167,534
0.353333,615
0.34,955
0.368333,1603
0.278333,532
0.245833,309
0.313333,337
0.291667,123
0.296667,198
0.28087,243
0.298333,362
0.298333,951
0.3475,892
0.4525,555
0.475833,551
0.438333,331
0.255833,340
0.320833,349
0.381667,1153
0.384167,441
0.435833,329
0.353333,282
0.2975,310
0.295833,425
0.281667,429
0.324167,767
0.3625,538
0.393333,212
0.410833,433
0.3325,333
0.33,314
0.326667,221
0.265833,205
0.245833,408
0.231304,174
0.291304,440
0.243333,9
0.254167,247
0.253333,644
0.253333,159
0.255833,364
0.215833,439
